# DATI STATISTICHE AGENTE
# Codice Agente: 631.00238
# Ragione Sociale: CARABOT NATALINO
# Periodo: 01/01/2025 - 24/08/2025

## SEZIONE 1: VERIFICA OBIETTIVI
Tipo_Dato,Provincia,Anno_Precedente,Anno_Corrente,Obiettivo,Percentuale_Obiettivo,Clienti_Anno_Precedente,Clienti_Anno_Corrente,Obiettivo_Clienti,Percentuale_Obiettivo_Clienti
OBIETTIVI,Generale,80238.72,90159.79,,,352,20,,
OBIETTIVI,LT,79029.16,82389.23,135000.00,38,23,18,35,51

## SEZIONE 2: CLIENTI SERVITI PER PROVINCIA
Tipo_Dato,Provincia,Clienti_Serviti,Fatturato
CLIENTI_PROVINCIA,LT,18,60437.22
CLIENTI_PROVINCIA,RM,2,7770.56

## SEZIONE 3: DETTAGLIO VENDITE PER CLIENTE
Tipo_Dato,Provincia,Ragione_Sociale_Cliente,Categoria_Articoli,Fatturato
VENDITE_CLIENTE,LT,EDILIZIA VENDITTI DI VENDITTI GIOVANNI E C. SNC,PAVIMENTAZIONE POLIS,2230.80
VENDITE_CLIENTE,LT,L'EMPORIO DI IOZZI SONIA,MATTONE PIENO,957.60
VENDITE_CLIENTE,LT,L'EMPORIO DI IOZZI SONIA,PAVIMENTAZIONE POLIS,984.96
VENDITE_CLIENTE,LT,EDIL PONTINA SRLS,MATTONE PIENO,864.00
VENDITE_CLIENTE,LT,EDIL PONTINA SRLS,REFRATTARI,379.47
VENDITE_CLIENTE,LT,EDIL PONTINA SRLS,REFRATTARI RETTIFICATI,819.98
VENDITE_CLIENTE,LT,FER.COM. COSTRUZIONI SRL,PAVIMENTAZIONE POLIS,2695.68
VENDITE_CLIENTE,LT,FER.COM. COSTRUZIONI SRL,REFRATTARI,640.35
VENDITE_CLIENTE,LT,FER.COM. COSTRUZIONI SRL,REFRATTARI RETTIFICATI,460.34
VENDITE_CLIENTE,LT,EDILIZIA PRIMAVERA SRL,PAVIMENTAZIONE POLIS,933.12
VENDITE_CLIENTE,LT,EDILIZIA PRIMAVERA SRL,REFRATTARI,1969.92
VENDITE_CLIENTE,LT,EDILIZIA PRIMAVERA SRL,REFRATTARI RETTIFICATI,870.33
VENDITE_CLIENTE,RM,COLANTUONO 1918 SRL,LINEA ARCHEO,1.94
VENDITE_CLIENTE,RM,COLANTUONO 1918 SRL,MATTONE PIENO,5150.40
VENDITE_CLIENTE,RM,COLANTUONO 1918 SRL,PAVIMENTAZIONE POLIS,1598.40
VENDITE_CLIENTE,LT,LATINA BETON SERVIZI SRL,FACCIAVISTA,1007.62
VENDITE_CLIENTE,LT,LATINA BETON SERVIZI SRL,MATTONE PIENO,720.00
VENDITE_CLIENTE,LT,LATINA BETON SERVIZI SRL,PAVIMENTAZIONE POLIS,362.88

## SEZIONE 4: RIEPILOGO PER CATEGORIA
Tipo_Dato,Categoria,Importo_Totale,Provincia_1,Clienti_Prov_1,Provincia_2,Clienti_Prov_2
CATEGORIA_RIEPILOGO,COPERTURE,3.36,LT,1,RM,0
CATEGORIA_RIEPILOGO,CORRIM.COPRIM.,73.26,LT,1,RM,0
CATEGORIA_RIEPILOGO,COTTO A MANO ANTICHE TERRE,0.00,LT,0,RM,0
CATEGORIA_RIEPILOGO,FACCIAVISTA,1591.40,LT,2,RM,0
CATEGORIA_RIEPILOGO,GANCI E ACCESSO,0.00,LT,0,RM,0
CATEGORIA_RIEPILOGO,LINEA ARCHEO,746.68,LT,2,RM,1
CATEGORIA_RIEPILOGO,MATTONE PIENO,38558.64,LT,16,RM,1
CATEGORIA_RIEPILOGO,OUTLET,0.01,LT,1,RM,0
CATEGORIA_RIEPILOGO,PAVIMENTAZIONE POLIS,15686.46,LT,13,RM,1
CATEGORIA_RIEPILOGO,PEZ.SPEC.COPPI,0.00,LT,0,RM,0
CATEGORIA_RIEPILOGO,PIASTRELLE,1240.95,LT,1,RM,0
CATEGORIA_RIEPILOGO,PRODOTTI FORNO,0.00,LT,0,RM,0
CATEGORIA_RIEPILOGO,TAVELLONI,0.00,LT,0,RM,0
CATEGORIA_RIEPILOGO,REFRATTARI,4910.39,LT,4,RM,1
CATEGORIA_RIEPILOGO,REFRATTARI RETTIFICATI,5367.83,LT,5,RM,0
CATEGORIA_RIEPILOGO,PROMOZIONALI,0.00,LT,0,RM,0

## SEZIONE 5: RIPARTIZIONE FATTURATO
Tipo_Dato,Categoria_Prodotto,Importo,Percentuale
RIPARTIZIONE,Pieni_e_Coppi,54909.62,60.8
RIPARTIZIONE,Altro,35250.17,39.2

## RIEPILOGHI FINALI
Tipo_Dato,Descrizione,Valore
TOTALE,Fatturato_Totale,90207.78
TOTALE,Fatturato_LT,82389.23
TOTALE,Fatturato_RM,7818.55
TOTALE,Clienti_Totali,20
TOTALE,Clienti_LT,18
TOTALE,Clienti_RM,2
